Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Booking,,Booking,,2023-04-27 14:42:39,2023-04-27 14:42:58,19.043s,PASSED
,,,,,,,
Test Cases/BOOKING/CreateBooking,,Creates a new booking in the API,BOOKING,2023-04-27 14:42:40,2023-04-27 14:42:47,7.267s,PASSED
"sendRequest(findTestObject(""BOOKING/CreateBooking""))",,,,2023-04-27 14:42:40,2023-04-27 14:42:47,6.297s,PASSED
,,,,,,,
Test Cases/BOOKING/GetBooking,,Returns a specific booking based upon the booking id provided,BOOKING,2023-04-27 14:42:47,2023-04-27 14:42:49,2.116s,PASSED
"sendRequest(findTestObject(""BOOKING/GetBooking""))",,,,2023-04-27 14:42:47,2023-04-27 14:42:49,1.463s,PASSED
,,,,,,,
Test Cases/BOOKING/GetBookingIds,,Returns the ids of all the bookings that exist within the API. Can take optional query strings to search and return a subset of booking ids.,BOOKING,2023-04-27 14:42:49,2023-04-27 14:42:54,4.898s,PASSED
"sendRequest(findTestObject(""BOOKING/GetBookingIds""))",,,,2023-04-27 14:42:50,2023-04-27 14:42:54,3.658s,PASSED
,,,,,,,
Test Cases/BOOKING/PartialUpdateBooking,,Updates a current booking with a partial payload,BOOKING,2023-04-27 14:42:54,2023-04-27 14:42:56,2.247s,PASSED
"sendRequest(findTestObject(""BOOKING/PartialUpdateBooking""))",,,,2023-04-27 14:42:54,2023-04-27 14:42:56,1.737s,PASSED
,,,,,,,
Test Cases/BOOKING/UpdateBooking,,Updates a current booking,BOOKING,2023-04-27 14:42:56,2023-04-27 14:42:58,1.833s,PASSED
"sendRequest(findTestObject(""BOOKING/UpdateBooking""))",,,,2023-04-27 14:42:57,2023-04-27 14:42:58,1.351s,PASSED
