Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Auth,,Creates a new auth token to use for access to the PUT and DELETE /booking,,2023-04-27 14:42:25,2023-04-27 14:42:33,7.574s,PASSED
,,,,,,,
Test Cases/AUTH/Create Token,,Creates a new auth token,AUTH,2023-04-27 14:42:26,2023-04-27 14:42:33,7.040s,PASSED
"sendRequest(findTestObject(""AUTH/Auth - CreateToken""))",,,,2023-04-27 14:42:27,2023-04-27 14:42:33,6.286s,PASSED
